decision_id,subject_id,action,state,evidence,supersedes,rationale
D000020,ega:subsection:I.1.2,refer_printed_corrections,active,reports/findings.jsonl,,Direct comparison exposed one incorrect cross-reference and one three-symbol ambient-ring error while preserving diplomatic French
D000021,ega:subsection:I.1.3,admit_third_statement_level_map,active,smap.csv,,Direct French review gives every numbered unit a disposition across affine sheaf construction exactness equivalence and tensor structures
D000022,ega.all,classify_relations_by_source_coverage,active,schema.md,,A target with extra clauses is not partial when it contains the whole source statement; reserve partial for an actual uncovered source remainder
D000023,ega:subsection:I.1.4,admit_fourth_statement_level_map,active,smap.csv,,Direct French review gives every numbered unit through 1.4.3 a disposition with exact existing targets one local consolidation and an explicit proof-device residual
D000024,ega:I.1.4.1,add_quasi_affine_section_characterization,active,properties-lemma-characterize-quasi-coherent-quasi-affine,,The ambient-module finite-standard-cover quasi-coherence and localization criteria form a reusable theorem absent as one named target; the local label has no official tag
D000025,ega:I.1.4.1.1,retain_local_gluing_as_proof_device,active,resid.csv,,The arbitrary-sheaf denominator gluing lemma is real but ad hoc; 01P7 subsumes its conclusion in the quasi-coherent application and modern proof bypasses the standalone statement
D000026,ega.all,refresh_live_french_interface_through_EGA_II_p20,active,E2P20.json,,F19 and the p20 gate now seal EGA II through printed p.20 while all earlier statement reviews retain their immutable F8 receipt
D000027,ega:subsection:I.1.5,admit_fifth_statement_level_map,active,smap.csv,,Direct French review gives every numbered unit through 1.5.4 an exact existing or split-derived disposition
D000028,ega:subsection:I.1.5,retain_existing_split_packaging,active,01XZ 0EHM 01PE 01PF 01IA 01PB 0GN6,,Existing Stacks lemmas cover every mathematical assertion while the two bundled extension formulations remain explicit derived residuals
D000029,properties-lemma-extend-finite-presentation,repair_finite_type_citation,active,properties.tex line 3030,,The proof has established only finite type and needs finite generation of the affine module so 01PB is the exact criterion while 01PC is inapplicable
D000030,ega:I.1.5.2,reject_false_duplicate_numbering_claim,active,EGA I NUMDAM printed p.93 at 1100 dpi and EGA1_CHAPTER1_P93_VALIDATION_R16.json,,The authority visibly numbers the three corollaries 1.5.2 1.5.3 and 1.5.4 in sequence so no source correction exists
D000031,ega:subsection:I.1.6,admit_sixth_statement_level_map,active,smap.csv,,Direct French review gives every numbered unit and formula 1.6.5.1 through 1.6.10 an exact existing stronger or split-derived disposition
D000032,ega:subsection:I.1.6,retain_existing_affine_functoriality_packaging,active,00E2 00E3 008H 0096 0098 01AJ 01HV 01I1 01I2 01I8 01I9 01SB 02C6 05DQ 0H7H,,Existing Stacks results cover every mathematical assertion while proof-level affine formulas remain explicit residuals rather than new omnibus lemmas
D000033,ega:I.1.6.8,reject_flat_internal_hom_overclaim,active,0C6I and direct French lines 1452-1473,,The source identifies the canonical base-change map but does not assert an isomorphism and assumes no flatness so 0C6I is not a valid target
D000034,ega:I.1.6.2,reject_arbitrary_localization_open_immersion,active,00E3 and direct French lines 1295-1308,,For an infinite multiplicative set the image can fail to be open so the induced-sheaf statement must not be collapsed into the principal-localization open-immersion lemma 01I3
D000035,ega:subsection:I.1.7,admit_seventh_statement_level_map,active,smap.csv,,Direct French review gives all five numbered units an exact existing stronger or split-derived disposition
D000036,ega:subsection:I.1.7,retain_existing_affine_category_packaging,active,01HB 01HW 01HV 01HY 01I1 01I2 01IG 01L6 00E5,,Existing definitions and lemmas cover affine recognition the Hom bijection opposite-category equivalence and quotient monomorphism without a new Stacks lemma
D000037,ega.all,register_native_xymatrix_diagrams,active,intake.py units.csv and intake.json,,The exact R184 corpus contains 430 active Xy-pic commands in addition to 15 tikz-cd diagrams and every native diagram requires a stable semantic ID
D000038,ega:I.1.7.1,refer_coordinate_ring_canonicity_clarification,active,reports/findings.jsonl,,Literal presentation-independent canonicity is false but context supports harmless transport along a chosen affine presentation so the canon task must decide any corrected-layer clarification
D000039,ega.all,bound_pending_section_classification,active,intake.py units.csv and intake.json,,A section command may bind a following label at most four lines later in exact R184 and must not leak 107 lines across unlabelled errata prose
D000040,ega:subsection:I.2.1,admit_eighth_statement_level_map,active,smap.csv,,Direct French review gives all eight numbered units exact existing stronger or split-derived dispositions and requires no new Stacks lemma
D000041,ega:I.2.1.2,normalize_historical_prescheme_terminology,active,01IJ and direct French F8,,EGA prescheme is the modern unrestricted scheme while the old word scheme added separatedness and the local-affineness definition itself is unchanged
D000042,ega:I.2.1.6,distinguish_rational_function_ring_from_function_field,active,01RU 01RV 01RW and direct French F8,,The source assumes only irreducibility and therefore identifies a generic-stalk ring while fieldhood requires the additional reducedness in the modern function-field definition
D000043,ega:I.2.1.8,retain_composite_locally_integral_definition,active,004S 004V 01OK 01ON 01OQ,,Locally integral means an integral open neighbourhood at every point and is not equivalent merely to every local ring being a domain
D000044,ega:I.2.1.5,retain_existing_source_typo_record,active,FRENCH_DIPLOMATIC_TRANSCRIPTION_APPEND_P98_20260802.jsonl,,The proof prints uniqueness for X where the referent is Y but the canonical producer already catalogued and preserved this typo so no duplicate finding is created
D000045,ega:subsection:I.2.2,admit_ninth_statement_level_map,active,smap.csv,,Direct French review gives all ten numbered units plus formula 2.2.4.1 exact existing stronger split or derived dispositions and requires no new Stacks lemma
D000046,ega:subsection:I.2.2,preserve_morphism_category_and_notation_layers,active,01HB 01IJ 07BI 0093 008M 01HF 01L7 01HI 01HG 01IK,,Prescheme morphisms are modern scheme morphisms while residue fields ringed-space monicity and suppressed notation remain separately typed proof or migration clauses
D000047,ega:I.2.2.4,retain_affine_target_and_module_mapping_packages,active,01I1 01HZ 01IB 01I7 01BH 0096,,The affine-target Hom bijection is stronger in source generality and the module formula is reconstructed without adding affine quasi-compact or quasi-separated hypotheses on f
D000048,ega:I.2.2.6,distinguish_plain_closedness_from_geometric_strengthenings,active,005O 0513 01U0 01RJ 01RZ,,Closed means only a closed underlying topological map; it is neither a closed immersion nor universally closed nor proper
D000049,ega:I.2.2.7,retain_exact_permanence_and_cancellation_clauses,active,02V2 0515 0H8J 01S0 005O 01RZ,,Composition and cancellation are recorded clause by clause so no forward theorem is misused as its converse
D000050,ega:I.2.2.8,retain_arbitrary_zariski_target_locality,active,02KO 02KV 0H8J 01U0 005O,,The cover is arbitrary and the stronger fpqc and fppf targets are specialized without importing finiteness quasi-compactness or universal closedness
D000051,ega:I.2.2.9,modernize_birational_component_indexing,active,01RO 0BAB 01RP 01RZ,,Use the invariant bijection on generic points together with the stronger generic-fibre lemma while preserving finite component count and the absence of reducedness or integrality
D000052,ega:subsection:I.2.2,resolve_agent_and_spark_disagreements,active,agent.csv issues.csv,,Accept exact source and target evidence only after pinned replay and retain false labels false paraphrases and missed ordinary-closed clauses append-only
D000053,ega:subsection:I.2.3,admit_tenth_statement_level_map,active,smap.csv,,Direct French review gives both numbered units exact existing stronger split or derived dispositions and requires no new Stacks lemma
D000054,ega:I.2.3.1,retain_unrestricted_scheme_gluing_and_affine_reconstruction,active,01JB 01JC 01IT,,Gluing works for arbitrary index sets and the converse affine-cover reconstruction is kept distinct from the theorem that glued schemes form a scheme
D000055,ega:I.2.3.2,identify_inversion_gluing_as_projective_line,active,01JE 01I3 00E4 01NF 01NG,,The source is projective one-space obtained by inversion rather than affine line with doubled origin and its future Proj comparison is explicit derived metadata
D000056,ega:subsection:I.2.4,admit_eleventh_statement_level_map,active,smap.csv reports/findings.jsonl,,Direct French review gives all nine semantic units exact split stronger derived or explicitly defective dispositions without changing Stacks TeX
D000057,ega:I.2.4.1,retain_local_scheme_and_canonical_local_spectrum_package,active,01HW 07BI 00E9 00ES 01HV 01J6 02NA,,Keep the compound local-scheme definition separate from the stronger universal characterization of its canonical stalk-spectrum morphism
D000058,ega:I.2.4.2,retain_topological_stalk_and_ringed_space_monicity_layers,active,01J7 00E3 0061 0062 01HV 02C6 01L6 01IS 004X 00ET,,Keep image topology stalk isomorphisms ambient-category monicity and irreducible-closure correspondence as separately typed clauses
D000059,ega:I.2.4.3,retain_component_and_dimension_zero_composite,active,00ET 00ES 00E3 00KE 04MG 07BI,,The component criterion is a localization composite and dimension zero does not add Noetherianity reducedness or fieldhood
D000060,ega:I.2.4.4,retain_local_source_universal_mapping_property,active,01J6 02NA,,The pinned theorem gives the exact image-point and local-stalk-map bijection plus the unique canonical factorization
D000061,ega:I.2.4.5,refer_field_point_closed_image_error,active,reports/findings.jsonl 01J5 07BI,,Preserve diplomatic French and map only the valid local-map clause because the unrestricted morphism sentence omits the closed-image condition
D000062,ega:I.2.4.6,retain_residue_field_point_classification,active,01J5 01J6 02NA,,Use the exact fixed-field point bijection and never replace distinct embeddings by the equivalence classes classified in 01J9
D000063,ega:I.2.4.7,retain_quotient_composite_and_ambient_monomorphism,active,01IG 01L9 01L6,,The quotient component is a closed immersion but the full composite is only asserted monic and its literal ambient category is all ringed spaces
D000064,ega:I.2.4.8,retain_local_triviality_and_factorial_comparison,active,01CS 0B8M 01J6 02AH 0BDA 0BCH,,A local trivialization globalizes through the unique closed point while UFD alone supplies the later factorial conclusion
D000065,ega:subsection:I.2.5,admit_twelfth_statement_level_map,active,smap.csv,,Direct French review gives all six semantic units exact split stronger or derived dispositions without changing Stacks TeX
D000066,ega:I.2.5.1,retain_scheme_over_base_and_affine_reformulations,active,01JX 01I1 01JM 01RJ,,Keep structure morphisms affine-base algebra structures the final integer scheme point-over terminology and dominance as separately typed clauses
D000067,ega:I.2.5.2,retain_slice_morphisms_category_and_native_triangle,active,01JX 001G,,The commuting-triangle definition and slice-category consequences are exact while the labelled French diagram remains a native source unit
D000068,ega:I.2.5.3,retain_restriction_gluing_and_open_factorization,active,001G 01HF 01IK 01JB 01HI,,Separate source restriction by composition from target factorization through an open and retain the derived over-S gluing check
D000069,ega:I.2.5.4,distinguish_base_forgetting_from_cartesian_base_change,active,001G 01HI 01L7,,Postcomposition and restriction through an open base are not the fibre-product construction called base change in later Stacks items
D000070,ega:I.2.5.5,preserve_section_source_typo_and_notation_migration,active,01KT 01JX EG-EGA-I-P104-FR-255-SOURCE-TYPO-001,,Map the separately corrected S-prescheme reading while preserving the diplomatic S-morphisme typo and distinguish Gamma of sections from global functions
D000071,ega:subsection:I.3.1,admit_thirteenth_statement_level_map,active,smap.csv,,Direct French review gives the single sum-of-schemes unit exact stronger and derived dispositions without changing Stacks TeX
D000072,ega:I.3.1.1,retain_arbitrary_scheme_coproduct_as_disjoint_gluing,active,0B1X 01JB 00AL 00AM 01JC 002J,,Use empty pairwise overlaps in the general gluing theorem and keep topology sheaf structure schemehood and universal property as distinct components
D000073,ega:I.3.1.1,retain_relative_coproduct_and_notation_migration,active,01JB 01JX 04AO,,The unique map to S is the coproduct mapping property while EGA sum and Stacks coproduct notation denote the same construction
D000074,ega:I.3.1.1,retain_binary_affine_product_and_infinite_guard,active,00ED 01I5,,The canonical Spec of A times B formula is binary and must never be generalized to an infinite ring product in the category of all schemes
D000075,ega:subsection:I.3.2,admit_fourteenth_statement_level_map_part_one,active,smap.csv,,Direct French review admits 3.2.1 through 3.2.5 while the existence theorem and later construction remain the next bounded block
D000076,ega:I.3.2.1,retain_slice_product_fibre_product_and_functorial_notation,active,001G 001S 01JP 001V 002L 01JX,,A product in Sch over S is the ordinary scheme fibre product while pairing product maps and affine-base shorthand remain explicit migrations
D000077,ega:I.3.2.2,retain_affine_tensor_product_construction,active,01I4 00CX,,The affine fibre product is Spec of the tensor product with projection variance and the A-algebra Hom proof recorded separately
D000078,ega:I.3.2.3,retain_affine_pairing_formula_and_compatibility,active,01I4 01I1 00CX,,The pure-tensor formula is the concrete inverse of the affine fibre-product Hom bijection and requires agreement of both maps on A
D000079,ega:I.3.2.4,retain_monomorphic_base_product_equivalence,active,003B 01L2 01L3 01KR,,Categorical cancellation and the diagonal-isomorphism criterion make the two fibre products canonically identical without any separation or finiteness hypothesis
D000080,ega:I.3.2.5,retain_open_base_corollary,active,01HI 01L7 01KR,,Image containment factors both structure maps through the open base whose immersion is monic so the preceding comparison applies
D000081,ega:subsection:I.3.2,admit_fourteenth_statement_level_map_part_two,active,smap.csv,,Direct French review admits 3.2.6 through 3.2.8 while the discovery unit 3.2.9 remains unpromoted pending its cited EGA II erratum authority
D000082,ega:I.3.2.6,retain_global_fibre_product_existence,active,01JM 01JP,,The binary product in Sch over S exists because schemes have fibre products while the broader finite-limit packaging remains explicit
D000083,ega:I.3.2.6.1,retain_open_restriction_of_product,active,01JR,,The inverse-image intersection with its restricted projections is the product of the chosen opens and Stacks proves the stronger open-base version
D000084,ega:I.3.2.6.2,retain_local_candidate_product_criterion,active,01JP 01JB 01JR 01JM,,A preassigned cone is a product when its exact inverse-image cover has the local product property even though no single Stacks tag states this criterion
D000085,ega:I.3.2.6.3,retain_gluing_of_local_products,active,01JM 01JJ 001V 01JB 01JC,,Canonical overlap isomorphisms and their forced cocycle glue local product representatives into the global product
D000086,ega:I.3.2.6.4,retain_base_local_existence_argument,active,01JM 01HI 01JJ,,The conditional base-cover argument is entailed by unconditional existence while its synchronized-open proof remains separately recoverable
D000087,ega:I.3.2.6.5,retain_affine_cover_proof_closure,active,01I4 01JM,,The source proof closes the theorem from affine tensor products and gluing while Stacks packages the same strategy in one representability proof
D000088,ega:I.3.2.7,retain_open_factor_product_and_pairing_compatibility,active,01JR 01HI 01JP,,The canonical open identification is exact and the induced pairing is the unique open factorization of the ambient pairing
D000089,ega:I.3.2.8,retain_product_of_disjoint_sums_decomposition,active,01JR 01JB 01JC 002J 023X,,Pairwise products form disjoint open pieces of the global product and glue to the asserted set-indexed coproduct without a standalone exact Stacks tag
D000090,ega:intake,repair_statement_scoped_foreign_page_provenance,active,intake.py units.csv check.py,,A foreign-volume erratum marker inside one statement belongs to that statement and must restore the surrounding body page without changing stable IDs
D000091,ega:subsection:I.3.3,admit_fifteenth_statement_level_map_part_one,active,smap.csv,,Direct French review admits 3.3.1 through 3.3.5 with the false arbitrary-category sum claim explicitly residualized and referred
D000092,ega:I.3.3.1,split_valid_slice_core_from_false_omnibus_claim,active,001G findings.jsonl,,The definition of S objects is categorical but base change of sums in 3.3.10 fails in general categories so the omnibus statement is only partial
D000093,ega:I.3.3.2,retain_chosen_product_bifunctoriality,active,001G 001V 002L 01JP,,Universal-property uniqueness gives the covariant bifunctor and the displayed projection square after product representatives are chosen
D000094,ega:I.3.3.3,retain_terminal_unit_isomorphisms,active,001G 002C 001S 01JP,,The identity S object is terminal in the slice and product with it yields the two functorial unit isomorphisms and stated inverses
D000095,ega:I.3.3.4,retain_projection_unit_formulas,active,01JP,,Both formulas follow by comparing the two fibre-product projections under the canonical unit identifications
D000096,ega:I.3.3.5,retain_finite_products_and_coherent_comparisons,active,002I 01JM 002O 002E 002L 01JP,,Finite products exist in the slice by binary fibre products and the terminal object while uniqueness supplies permutation associativity and the triple projection formula
D000097,ega:subsection:I.3.3,admit_fifteenth_statement_level_map_part_two,active,smap.csv,,Direct French review admits 3.3.6 through 3.3.10 with every diagram proof and numbered formula separately disposed
D000098,ega:I.3.3.6,retain_base_change_object_and_cartesian_square,active,01JX 01JP,,Stacks reverses factor order but gives the exact base-change object and the stronger cartesian square
D000099,ega:I.3.3.7,retain_base_changed_morphism_functor,active,01JX 002L,,The induced morphism is explicit and identity plus composition follow from fibre-product uniqueness after representatives are chosen
D000100,ega:I.3.3.8,retain_slice_adjunction_with_catalogued_typo,active,001G 01JX 01JP P109,,The Hom bijection is exactly the fibre-product universal property and the printed f for g defect remains controlled by its existing French ledger record
D000101,ega:I.3.3.9,retain_pseudofunctorial_base_change_transitivity,active,02XO 001Y,,The canonical functorial comparison is the pullback pseudofunctor coherence and its displayed formulas are universal-property consequences
D000102,ega:I.3.3.10,separate_product_and_scheme_coproduct_preservation,active,0038 001Y 002L 01JR 01JB 01JC,,Right-adjoint exactness gives product preservation while the valid scheme coproduct claim uses disjoint open pieces and gluing rather than the false arbitrary-category extrapolation
D000103,ega:I.3.3.10,repair_post_proof_prose_unit_attribution,active,units.csv smap.csv,,Rows S000331 through S000334 and R000165 through R000167 belong to the parent statement because the product and sum prose follows the closed proof environment
D000104,ega:scaffold,restore_append_only_graph_correction,active,smap.csv resid.csv check.py,D000103,Restore the seven first-published rows then append exact corrected successors with validated same-table supersession and active-view counts
D000105,ega:subsection:I.3.3,admit_fifteenth_statement_level_map_part_three,active,smap.csv,,Direct French review admits 3.3.11 through 3.3.15 with the two French-labelled plain displays retained as parent components
D000106,ega:I.3.3.11,retain_base_change_reexpression_over_intermediate_base,active,01JY 001Y,,The proof of 01JY gives the exact canonical pullback comparison diagram and base-changed projection without importing its immersion hypothesis
D000107,ega:I.3.3.12,retain_product_and_base_change_of_monomorphisms,active,003B 001V 01KU 02YC 01L5 P111,,Cancellation and fibre-product uniqueness prove the product claim while 02YC gives the corrected base-change display directly
D000108,ega:I.3.3.13,retain_affine_tensor_base_change_with_notation_migration,active,01I2 01JX 01I4,,Affine duality and the affine fibre-product formula give the exact tensor coordinate ring while Stacks omits the scheme tensor notation
D000109,ega:I.3.3.14,retain_graph_as_pullback_universal_map,active,01JP 01JX,,The graph and its section correspondence are the fibre-product universal map specialized to the base scheme itself
D000110,ega:I.3.3.15,retain_affine_line_representation_with_corrected_arrow,active,01JM 01M0 01JH 01I1 006T P111,,Affine one-space represents global functions and the corrected scheme arrow is forced by the ensuing polynomial-ring maps
D000111,ega:subsection:I.3.4,admit_sixteenth_statement_level_map,active,smap.csv P111 P112 P113 P114,,Direct French review admits 3.4.1 through 3.4.9 with eighteen generated units and French-only plain-display labels retained as parent components
D000112,ega:I.3.4.1,retain_functor_of_points_and_natural_postcomposition,active,001O,,The representable Hom functor gives both contravariance in the test scheme and natural covariance in the represented scheme
D000113,ega:I.3.4.2,retain_pointwise_fibre_product_formula,active,0020 001V,,The set-theoretic pullback definition and the categorical fibre-product Hom formula give the exact pointwise identity
D000114,ega:I.3.4.3,retain_relative_points_as_slice_category_Hom,active,001G 001S 001V 01JX,,Relative valued points are Hom sets in the slice category and products are computed by the same universal properties there
D000115,ega:I.3.4.4,retain_affine_test_ring_covariance,active,001O 01I2,,Covariance in the value ring is the composite of the contravariant Spec equivalence and contravariance of the point functor
D000116,ega:I.3.4.5,retain_local_and_field_valued_points_with_terminology_migration,active,01J5 01J6 01JP 03PO,,The fixed-field and local-ring classifications are exact while geometric point has a narrower modern Stacks meaning
D000117,ega:I.3.4.6,retain_common_field_lifts_to_finite_products,active,0H7K 01J5 01JP,,A common residue-field extension and the iterated product universal property give the simultaneous lift
D000118,ega:I.3.4.7,retain_underlying_points_of_finite_products,active,0495 0496 01JT,,Binary existence is exact and finite products follow by iteration while tensor-product primes explain failure of injectivity
D000119,ega:I.3.4.8,retain_set_theoretic_base_change_image_identity,active,01S1 0495,,The proof of base-change surjectivity contains the exact arbitrary-subset identity and the same Cartesian square
D000120,ega:I.3.4.9,retain_tensor_prime_fibre_classification_with_corrected_map_type,active,01JT 01KR 01L3 01I4 P114,,Product points over fixed projections are tensor-product primes and the printed tensor map is only a homomorphism rather than a monomorphism
D000121,ega:units,overlay_missing_r184_printed_page_markers,active,pages.csv P115 P116,,Direct French page gates supply eighteen first-page locators absent from frozen R184 while its stable IDs and bytes remain untouched
D000122,ega:subsection:I.3.5,admit_seventeenth_statement_level_map,active,smap.csv P114 P115 P116 P117,,Direct French review admits 3.5.1 through 3.5.11 with twenty-one generated units and two French-only plain displays retained as parent components
D000123,ega:I.3.5.1,retain_formal_product_and_base_change_reduction,active,01JX 01JP 01KU,,Base change is product with an identity and a product morphism factors into two one-factor base changes in the exact formal pattern
D000124,ega:I.3.5.2,retain_surjective_product_and_base_change_permanence,active,01S0 01S1 01KU,,Arbitrary base change is exact and product stability follows by the two-step factorization and composition of surjections
D000125,ega:I.3.5.3,retain_field_extension_lifting_criterion_for_surjectivity,active,01RZ 01J9 0H7K 03H5,,Point classification and a common overfield prove the criterion while the broader algebraic-space proof contains the source lifting square
D000126,ega:I.3.5.4,bridge_field_point_definition_to_modern_radiciality,active,01S3 01S4 003B,,Stacks proves the field-valued definition equivalent to universal injectivity and the residue-field criterion and categorical monicity gives the stated corollary
D000127,ega:I.3.5.5,retain_algebraically_closed_field_test,active,01S4 01J9 001O 0CPN,,Extension of value fields is injective on scheme points and the algebraic-stack criterion gives a strictly stronger direct test by algebraically closed fields
D000128,ega:I.3.5.6,retain_composition_and_left_cancellation_for_radicial_maps,active,02V1 01S4,,Composition is named directly and left cancellation follows from injectivity of every field-valued point map
D000129,ega:I.3.5.7,retain_product_and_base_change_of_radicial_maps,active,0472 02V1 01JP,,Base change is exact and the product claim factors into two base changes followed by composition with the pointwise pullback identity
D000130,ega:I.3.5.8,retain_exact_point_and_residue_field_characterization,active,01S3 01S4 0H7K 01J9,,The modern equivalence repeats both source directions and its common-overfield and two-embedding proof
D000131,ega:I.3.5.9,derive_radiciality_of_arbitrary_localization,active,04VS 04VW 01S3 01I2 01S4,,A localization is a ring epimorphism with injective spectrum and identical residue fields and hence its affine spectrum map is radicial
D000132,ega:I.3.5.10,retain_radicial_base_change_image_and_point_preimage,active,0472 01S1 01S4 01JP 01JX,,Base change remains radicial while the arbitrary-subset image identity and fibre-product Hom formula give both asserted bijections
D000133,ega:I.3.5.11,identify_radicial_with_universal_topological_injectivity,active,01S3 01S4,,The modern definition and equivalence give exactly injectivity on underlying spaces after every base change
D000134,ega:I.3.6.1,retain_thickened_fibre_topology_via_nilpotent_base_change,active,01K1 0BR6 01I4 00DK algebra-lemma-spec-homeomorphism-onto-image-units,,The residue fibre has the induced topology and nilpotent base change preserves it while the affine source proof ends with the already integrated unit-times-image criterion
D000135,ega:I.3.6.2,adopt_scheme_fibre_and_relative_point_convention,active,01K0 01K1 01JX 01JP,,The canonical scheme fibre and general base-change construction absorb the convention provided K-valued points are read relative to the fixed point of the base
D000136,ega:I.3.6.3,retain_composite_fibre_and_open_restriction,active,01K0 001Y 01JP 01JR 01K1,,Pullback associativity gives the composite fibre and the open fibre-product identification gives the induced open restriction
D000137,ega:I.3.6.4,retain_transitivity_of_fibres,active,001Z 01K0 001Y 02XO 01HH,,Unrestricted categorical base change and composition identities plus coherence and the open-immersion identification give both canonical fibre comparisons
D000138,ega:I.3.6.5,retain_local_spectrum_base_change_topology_and_stalks,active,01K1 01J7 01I4 00DK 00E3 01HV 02C6,,The local-spectrum square gives the correct generalization-locus preimage and affine tensor localization preserves every corresponding local ring
D000139,ega:I.3.7.1,identify_reduction_mod_ideal_as_base_change,active,01JX,,The quotient-base scheme is the ordinary base change along A to A modulo J and historical reduction terminology does not assert nilreduction
D000140,ega:I.3.7.2,retain_special_generic_fibres_and_schematic_model_closure,active,07BI 01K0 01JX 01NF 00KE 01I3 01JR 01IO 01T6 01OX 01R6 01R7 01R8 01QV,,The local one-dimensional setup makes the generic fibre open and quasi-compact schematic image gives the canonical model only relative to the chosen embedding
D000141,ega:I.3.7.3,retain_proper_valuative_point_bijection_and_limit_its_scope,active,0BX5 01JP 01KD 01KF 01KZ 01W1 01WC,,Properness gives unique extension from the fraction field over a valuation ring while the dimension-free closing prose concerns statements about the model X and not this point bijection
D000142,ega:subsection:I.4.1,admit_blank_guard_page_overlay_for_section_start,active,F8 P119 P120 L000019-L000023,,Permit an empty parsed-page guard only for genuinely blank frozen locators and bind five units to exact direct-French first pages without changing R184
D000143,ega:I.4.1.1,retain_affine_local_quasi_coherence_and_closure_properties,active,01BE 01IA 01I7 01IC 01ID 01LA,,The unlabelled global enumeration under 01LA states the affine criterion kernels cokernels sums and colimits while 01IC and 01ID remain exact affine proof dependencies and images are derived
D000144,ega:I.4.1.2,identify_ideal_quotient_support_as_closed_subscheme,active,01AV 01HM 01IN 01IB 01IG 01I9 01IC 01IM,,The quotient support is closed without needing quasi-coherence and the affine quotient construction glues to the scheme defined by the ideal sheaf
D000145,ega:I.4.1.3,identify_locally_closed_and_closed_subscheme_data,active,01IO 01IQ 0F2L 01QP 01QQ,,Modern immersion language plus the boundary-open formula and the paired existence and over-X uniqueness ideal lemmas cover the source definition with only maximality derived
D000146,ega:I.4.1.4,identify_open_restriction_as_inverse_image_subscheme,active,01BG 01JU 01JV,,Pullback along the open inclusion preserves quasi-coherence and gives the inverse-image closed subscheme defined by the restricted ideal
D000147,ega:I.4.1.5,retain_local_closed_subscheme_gluing_criterion,active,0FCZ 00AL 00AM 00AN 01LA 01QP 01QQ 01IO,,The local immersion criterion combines with sheaf structure map and quasi-coherence gluing plus closed-subscheme uniqueness while open induced schemes are open subschemes
D000148,ega:I.4.1.6,retain_transitivity_and_canonical_subscheme_convention,active,02V0 01IM 01IN,,Composition preserves immersions and closed immersions while the source strictifies the canonical quotient-ring isomorphism as a standing identification
D000149,ega:I.4.1.7,retain_canonical_injection_and_ringed_space_monicity,active,01IO 01IM 01HM 01IN 0H7H 01L6 01L7,,The locally closed quotient construction gives the canonical injection and stalk-surjective cancellation proves the stronger ringed-space monomorphism claim
D000150,ega:I.4.1.8,retain_majorization_as_factorization_through_a_monomorphism,active,003B 01IM,,The source term means factorization through the canonical injection and uniqueness follows from its monomorphism property
